co_cid,no_agravo,nu_prazo_encerramento
V14.3,CICLISTA TRAUMATIZADO EM COLISAO COM UM VEICULO DE TRANSPORTE PESADO OU UM ONIBUS - PESSOA TRAUMATIZADA AO SUBIR OU DESCER DO VEICULO,0
V14.5,CICLISTA TRAUMATIZADO EM COLISAO COM UM VEICULO DE TRANSPORTE PESADO OU UM ONIBUS - PASSAGEIRO TRAUMATIZADO EM UM ACIDENTE DE TRANSITO,0
V14.9,CICLISTA TRAUMATIZADO EM COLISAO COM UM VEICULO DE TRANSPORTE PESADO OU UM ONIBUS - CICLISTA NAO ESPECIFICADO TRAUMATIZADO EM UM ACIDENTE DE TRANSITO,0
V15,CICLISTA TRAUMATIZADO EM COLISAO COM UM TREM OU UM VEICULO FERROVIARIO,0
V15.0,CICLISTA TRAUMATIZADO EM COLISAO COM UM TREM OU UM VEICULO FERROVIARIO - CONDUTOR TRAUMATIZADO EM ACIDENTE NAO-DE-TRANSITO,0
V15.1,CICLISTA TRAUMATIZADO EM COLISAO COM UM TREM OU UM VEICULO FERROVIARIO - PASSAGEIRO TRAUMATIZADO EM ACIDENTE NAO-DE-TRANSITO,0
V15.2,CICLISTA TRAUMATIZADO EM COLISAO COM UM TREM OU UM VEICULO FERROVIARIO - CICLISTA NAO ESPECIFICADO TRAUMATIZADO EM ACIDENTE NAO-DE-TRANSITO,0
V15.3,CICLISTA TRAUMATIZADO EM COLISAO COM UM TREM OU UM VEICULO FERROVIARIO - PESSOA TRAUMATIZADA AO SUBIR OU DESCER DO VEICULO,0
V15.9,CICLISTA TRAUMATIZADO EM COLISAO COM UM TREM OU UM VEICULO FERROVIARIO - CICLISTA NAO ESPECIFICADO TRAUMATIZADO EM UM ACIDENTE DE TRANSITO,0
V16,CICLISTA TRAUMATIZADO EM COLISAO COM OUTRO VEICULO NAO-MOTORIZADO,0
V16.0,CICLISTA TRAUMATIZADO EM COLISAO COM OUTRO VEICULO NAO-MOTORIZADO - CONDUTOR TRAUMATIZADO EM ACIDENTE NAO-DE-TRANSITO,0
V16.1,CICLISTA TRAUMATIZADO EM COLISAO COM OUTRO VEICULO NAO-MOTORIZADO - PASSAGEIRO TRAUMATIZADO EM ACIDENTE NAO-DE-TRANSITO,0
V16.2,CICLISTA TRAUMATIZADO EM COLISAO COM OUTRO VEICULO NAO-MOTORIZADO - CICLISTA NAO ESPECIFICADO TRAUMATIZADO EM ACIDENTE NAO-DE-TRANSITO,0
V16.3,CICLISTA TRAUMATIZADO EM COLISAO COM OUTRO VEICULO NAO-MOTORIZADO - PESSOA TRAUMATIZADA AO SUBIR OU DESCER DO VEICULO,0
V16.4,CICLISTA TRAUMATIZADO EM COLISAO COM OUTRO VEICULO NAO-MOTORIZADO - CONDUTOR TRAUMATIZADO EM UM ACIDENTE DE TRANSITO,0
V16.5,CICLISTA TRAUMATIZADO EM COLISAO COM OUTRO VEICULO NAO-MOTORIZADO - PASSAGEIRO TRAUMATIZADO EM UM ACIDENTE DE TRANSITO,0
V16.9,CICLISTA TRAUMATIZADO EM COLISAO COM OUTRO VEICULO NAO-MOTORIZADO - CICLISTA NAO ESPECIFICADO TRAUMATIZADO EM UM ACIDENTE DE TRANSITO,0
V17.0,CICLISTA TRAUMATIZADO EM COLISAO COM UM OBJETO FIXO OU PARADO - CONDUTOR TRAUMATIZADO EM ACIDENTE NAO-DE-TRANSITO,0
V17.1,CICLISTA TRAUMATIZADO EM COLISAO COM UM OBJETO FIXO OU PARADO - PASSAGEIRO TRAUMATIZADO EM ACIDENTE NAO-DE-TRANSITO,0
V17.2,CICLISTA TRAUMATIZADO EM COLISAO COM UM OBJETO FIXO OU PARADO - CICLISTA NAO ESPECIFICADO TRAUMATIZADO EM ACIDENTE NAO-DE-TRANSITO,0
V17.3,CICLISTA TRAUMATIZADO EM COLISAO COM UM OBJETO FIXO OU PARADO - PESSOA TRAUMATIZADA AO SUBIR OU DESCER DO VEICULO,0
V17.4,CICLISTA TRAUMATIZADO EM COLISAO COM UM OBJETO FIXO OU PARADO - CONDUTOR TRAUMATIZADO EM UM ACIDENTE DE TRANSITO,0
V17.5,CICLISTA TRAUMATIZADO EM COLISAO COM UM OBJETO FIXO OU PARADO - PASSAGEIRO TRAUMATIZADO EM UM ACIDENTE DE TRANSITO,0
V17.9,CICLISTA TRAUMATIZADO EM COLISAO COM UM OBJETO FIXO OU PARADO - CICLISTA NAO ESPECIFICADO TRAUMATIZADO EM UM ACIDENTE DE TRANSITO,0
V18,CICLISTA TRAUMATIZADO EM UM ACIDENTE DE TRANSPORTE SEM COLISAO,0
V18.0,CICLISTA TRAUMATIZADO EM UM ACIDENTE DE TRANSPORTE SEM COLISAO - CONDUTOR TRAUMATIZADO EM ACIDENTE NAO-DE-TRANSITO,0
V18.1,CICLISTA TRAUMATIZADO EM UM ACIDENTE DE TRANSPORTE SEM COLISAO - PASSAGEIRO TRAUMATIZADO EM ACIDENTE NAO-DE-TRANSITO,0
V18.2,CICLISTA TRAUMATIZADO EM UM ACIDENTE DE TRANSPORTE SEM COLISAO - CICLISTA NAO ESPECIFICADO TRAUMATIZADO EM ACIDENTE NAO-DE-TRANSITO,0
V18.3,CICLISTA TRAUMATIZADO EM UM ACIDENTE DE TRANSPORTE SEM COLISAO - PESSOA TRAUMATIZADA AO SUBIR OU DESCER DO VEICULO,0
V18.4,CICLISTA TRAUMATIZADO EM UM ACIDENTE DE TRANSPORTE SEM COLISAO - CONDUTOR TRAUMATIZADO EM UM ACIDENTE DE TRANSITO,0
V18.5,CICLISTA TRAUMATIZADO EM UM ACIDENTE DE TRANSPORTE SEM COLISAO - PASSAGEIRO TRAUMATIZADO EM UM ACIDENTE DE TRANSITO,0
V18.9,CICLISTA TRAUMATIZADO EM UM ACIDENTE DE TRANSPORTE SEM COLISAO - CICLISTA NAO ESPECIFICADO TRAUMATIZADO EM UM ACIDENTE DE TRANSITO,0
V19,CICLISTA TRAUMATIZADO EM OUTROS ACIDENTES DE TRANSPORTE E EM ACIDENTES DE TRANSPORTE NAO ESPECIFICADOS,0
V19.0,"CONDUTOR TRAUMATIZADO EM COLISAO COM OUTROS VEICULOS E COM VEICULOS NAO ESPECIFICADOS,A MOTOR,EM UM ACIDENTE NAO-DE-TRANSITO",0
V19.1,"PASSAGEIRO TRAUMATIZADO EM COLISAO COM OUTRO VEICULOS E COM VEICULOS NAO ESPECIFICADOS,A MOTOR,EM UM ACIDENTE NAO-DE-TRANSITO",0
V19.2,"CICLISTA NAO ESPECIFICADO TRAUMATIZADO EM COLISAO COM OUTROS VEICULOS E COM VEICULOS NAO ESPECIFICADOS,A MOTOR,EM UM ACIDENTE NAO-DE-TRANSITO",0
V19.3,CICLISTA [QUALQUER] TRAUMATIZADO EM UM ACIDENTE NAO ESPECIFICADO E NAO-DE-TRANSITO,0
V19.4,"CONDUTOR TRAUMATIZADO EM COLISAO COM OUTROS VEICULOS E COM VEICULOS NAO ESPECIFICADOS,A MOTOR,EM UM ACIDENTE DE TRANSITO",0
V19.5,"PASSAGEIRO TRAUMATIZADO EM COLISAO COM OUTROS VEICULOS E COM VEICULOS NAO ESPECIFICADOS,A MOTOR,EM UM ACIDENTE DE TRANSITO",0
V19.6,"CICLISTA NAO ESPECIFICADO TRAUMATIZADO EM COLISAO COM OUTROS VEICULOS E COM VEICULOS NAO ESPECIFICADOS,A MOTOR,EM UM ACIDENTE DE TRANSITO",0
V19.8,CICLISTA [QUALQUER] TRAUMATIZADO EM OUTROS ACIDENTES DE TRANSPORTE ESPECIFICADOS,0
V19.9,CICLISTA [QUALQUER] TRAUMATIZADO EM UM ACIDENTE DE TRANSITO NAO ESPECIFICADO,0
V20,MOTOCICLISTA TRAUMATIZADO EM COLISAO COM UM PEDESTRE OU UM ANIMAL,0
V20.0,MOTOCICLISTA TRAUMATIZADO EM COLISAO COM UM PEDESTRE OU UM ANIMAL - CONDUTOR TRAUMATIZADO EM ACIDENTE NAO-DE-TRANSITO,0
V20.1,MOTOCICLISTA TRAUMATIZADO EM COLISAO COM UM PEDESTRE OU UM ANIMAL - PASSAGEIRO TRAUMATIZADO EM ACIDENTE NAO-DE-TRANSITO,0
V20.3,MOTOCICLISTA TRAUMATIZADO EM COLISAO COM UM PEDESTRE OU UM ANIMAL - PESSOA TRAUMATIZADO AO SUBIR OU DESCER DO VEICULO,0
V20.4,MOTOCICLISTA TRAUMATIZADO EM COLISAO COM UM PEDESTRE OU UM ANIMAL - CONDUTOR TRAUMATIZADO EM UM ACIDENTE DE TRANSITO,0
V20.5,MOTOCICLISTA TRAUMATIZADO EM COLISAO COM UM PEDESTRE OU UM ANIMAL - PASSAGEIRO TRAUMATIZADO EM UM ACIDENTE DE TRANSITO,0
V20.9,MOTOCICLISTA TRAUMATIZADO EM COLISAO COM UM PEDESTRE OU UM ANIMAL - MOTOCICLISTA NAO ESPECIFICADO TRAUMATIZADO EM UM ACIDENTE DE TRANSITO,0
V21.1,MOTOCICLISTA TRAUMATIZADO EM COLISAO COM UM VEICULO A PEDAL - PASSAGEIRO TRAUMATIZADO EM ACIDENTE NAO-DE-TRANSITO,0
V21.2,MOTOCICLISTA TRAUMATIZADO EM COLISAO COM UM VEICULO A PEDAL - MOTOCICLISTA NAO ESPECIFICADO TRAUMATIZADO EM ACIDENTE NAO-DE-TRANSITO,0
V21.3,MOTOCICLISTA TRAUMATIZADO EM COLISAO COM UM VEICULO A PEDAL - PESSOA TRAUMATIZADO AO SUBIR OU DESCER DO VEICULO,0
V21.4,MOTOCICLISTA TRAUMATIZADO EM COLISAO COM UM VEICULO A PEDAL - CONDUTOR TRAUMATIZADO EM UM ACIDENTE DE TRANSITO,0
V21.5,MOTOCICLISTA TRAUMATIZADO EM COLISAO COM UM VEICULO A PEDAL - PASSAGEIRO TRAUMATIZADO EM UM ACIDENTE DE TRANSITO,0
V22,MOTOCICLISTA TRAUMATIZADO EM COLISAO COM UM VEICULO A MOTOR DE DUAS OU TRES RODAS,0
V22.0,MOTOCICLISTA TRAUMATIZADO EM COLISAO COM UM VEICULO A MOTOR DE DUAS OU TRES RODAS - CONDUTOR TRAUMATIZADO EM ACIDENTE NAO-DE-TRANSITO,0
V22.1,MOTOCICLISTA TRAUMATIZADO EM COLISAO COM UM VEICULO A MOTOR DE DUAS OU TRES RODAS - PASSAGEIRO TRAUMATIZADO EM ACIDENTE NAO-DE-TRANSITO,0
V22.2,MOTOCICLISTA TRAUMATIZADO EM COLISAO COM UM VEICULO A MOTOR DE DUAS OU TRES RODAS - MOTOCICLISTA NAO ESPECIFICADO TRAUMATIZADO EM ACIDENTE NAO-DE-TRANSITO,0
V22.3,MOTOCICLISTA TRAUMATIZADO EM COLISAO COM UM VEICULO A MOTOR DE DUAS OU TRES RODAS - PESSOA TRAUMATIZADO AO SUBIR OU DESCER DO VEICULO,0
V22.4,MOTOCICLISTA TRAUMATIZADO EM COLISAO COM UM VEICULO A MOTOR DE DUAS OU TRES RODAS - CONDUTOR TRAUMATIZADO EM UM ACIDENTE DE TRANSITO,0
V22.5,MOTOCICLISTA TRAUMATIZADO EM COLISAO COM UM VEICULO A MOTOR DE DUAS OU TRES RODAS - PASSAGEIRO TRAUMATIZADO EM UM ACIDENTE DE TRANSITO,0
V22.9,MOTOCICLISTA TRAUMATIZADO EM COLISAO COM UM VEICULO A MOTOR DE DUAS OU TRES RODAS - MOTOCICLISTA NAO ESPECIFICADO TRAUMATIZADO EM UM ACIDENTE DE TRANSITO,0
V23,"MOTOCICLISTA TRAUMATIZADO EM COLISAO COM UM AUTOMOVEL [CARRO],PICK UP OU CAMINHONETE",0
V23.0,"MOTOCICLISTA TRAUMATIZADO EM COLISAO COM UM AUTOMOVEL [CARRO],PICK UP OU CAMINHONETE - CONDUTOR TRAUMATIZADO EM ACIDENTE NAO-DE-TRANSITO",0
V23.1,"MOTOCICLISTA TRAUMATIZADO EM COLISAO COM UM AUTOMOVEL [CARRO],PICK UP OU CAMINHONETE - PASSAGEIRO TRAUMATIZADO EM ACIDENTE NAO-DE-TRANSITO",0
V23.2,"MOTOCICLISTA TRAUMATIZADO EM COLISAO COM UM AUTOMOVEL [CARRO],PICK UP OU CAMINHONETE - MOTOCICLISTA NAO ESPECIFICADO TRAUMATIZADO EM ACIDENTE NAO-DE-TRANSITO",0
V23.3,"MOTOCICLISTA TRAUMATIZADO EM COLISAO COM UM AUTOMOVEL [CARRO],PICK UP OU CAMINHONETE - PESSOA TRAUMATIZADO AO SUBIR OU DESCER DO VEICULO",0
V23.4,"MOTOCICLISTA TRAUMATIZADO EM COLISAO COM UM AUTOMOVEL [CARRO],PICK UP OU CAMINHONETE - CONDUTOR TRAUMATIZADO EM UM ACIDENTE DE TRANSITO",0
V23.5,"MOTOCICLISTA TRAUMATIZADO EM COLISAO COM UM AUTOMOVEL [CARRO],PICK UP OU CAMINHONETE - PASSAGEIRO TRAUMATIZADO EM UM ACIDENTE DE TRANSITO",0
V23.9,"MOTOCICLISTA TRAUMATIZADO EM COLISAO COM UM AUTOMOVEL [CARRO],PICK UP OU CAMINHONETE - MOTOCICLISTA NAO ESPECIFICADO TRAUMATIZADO EM UM ACIDENTE DE TRANSITO",0
V24,MOTOCICLISTA TRAUMATIZADO EM COLISAO COM UM VEICULO DE TRANSPORTE PESADO OU UM ONIBUS,0
V24.0,MOTOCICLISTA TRAUMATIZADO EM COLISAO COM UM VEICULO DE TRANSPORTE PESADO OU UM ONIBUS - CONDUTOR TRAUMATIZADO EM ACIDENTE NAO-DE-TRANSITO,0
V24.1,MOTOCICLISTA TRAUMATIZADO EM COLISAO COM UM VEICULO DE TRANSPORTE PESADO OU UM ONIBUS - PASSAGEIRO TRAUMATIZADO EM ACIDENTE NAO-DE-TRANSITO,0
V24.2,MOTOCICLISTA TRAUMATIZADO EM COLISAO COM UM VEICULO DE TRANSPORTE PESADO OU UM ONIBUS - MOTOCICLISTA NAO ESPECIFICADO TRAUMATIZADO EM ACIDENTE NAO-DE-TRANSITO,0
V24.3,MOTOCICLISTA TRAUMATIZADO EM COLISAO COM UM VEICULO DE TRANSPORTE PESADO OU UM ONIBUS - PESSOA TRAUMATIZADO AO SUBIR OU DESCER DO VEICULO,0
V24.4,MOTOCICLISTA TRAUMATIZADO EM COLISAO COM UM VEICULO DE TRANSPORTE PESADO OU UM ONIBUS - CONDUTOR TRAUMATIZADO EM UM ACIDENTE DE TRANSITO,0
V24.5,MOTOCICLISTA TRAUMATIZADO EM COLISAO COM UM VEICULO DE TRANSPORTE PESADO OU UM ONIBUS - PASSAGEIRO TRAUMATIZADO EM UM ACIDENTE DE TRANSITO,0
V24.9,MOTOCICLISTA TRAUMATIZADO EM COLISAO COM UM VEICULO DE TRANSPORTE PESADO OU UM ONIBUS - MOTOCICLISTA NAO ESPECIFICADO TRAUMATIZADO EM UM ACIDENTE DE TRANSITO,0
V25,MOTOCICLISTA TRAUMATIZADO EM COLISAO COM UM TREM OU UM VEICULO FERROVIARIO,0
V25.0,MOTOCICLISTA TRAUMATIZADO EM COLISAO COM UM TREM OU UM VEICULO FERROVIARIO - CONDUTOR TRAUMATIZADO EM ACIDENTE NAO-DE-TRANSITO,0
V25.1,MOTORISTA TRAUMATIZADO EM COLISAO COM UM TREM OU UM VEICULO FERROVIARIO - PASSAGEIRO TRAUMATIZADO EM ACIDENTE NAO-DE-TRANSITO,0
V25.2,MOTORISTA TRAUMATIZADO EM COLISAO COM UM TREM OU UM VEICULO FERROVIARIO - MOTOCICLISTA NAO ESPECIFICADO TRAUMATIZADO EM ACIDENTE NAO-DE-TRANSITO,0
V25.3,MOTORISTA TRAUMATIZADO EM COLISAO COM UM TREM OU UM VEICULO FERROVIARIO - PESSOA TRAUMATIZADO AO SUBIR OU DESCER DO VEICULO,0
V25.4,MOTORISTA TRAUMATIZADO EM COLISAO COM UM TREM OU UM VEICULO FERROVIARIO - CONDUTOR TRAUMATIZADO EM UM ACIDENTE DE TRANSITO,0
V25.5,MOTORISTA TRAUMATIZADO EM COLISAO COM UM TREM OU UM VEICULO FERROVIARIO - PASSAGEIRO TRAUMATIZADO EM UM ACIDENTE DE TRANSITO,0
V26,MOTOCICLISTA TRAUMATIZADO EM COLISAO COM OUTRO VEICULO NAO-MOTORIZADO,0
V26.0,MOTOCICLISTA TRAUMATIZADO EM COLISAO COM OUTRO VEICULO NAO-MOTORIZADO - CONDUTOR TRAUMATIZADO EM ACIDENTE NAO-DE-TRANSITO,0
V26.1,MOTOCICLISTA TRAUMATIZADO EM COLISAO COM OUTRO VEICULO NAO-MOTORIZADO - PASSAGEIRO TRAUMATIZADO EM ACIDENTE NAO-DE-TRANSITO,0
V26.2,MOTOCICLISTA TRAUMATIZADO EM COLISAO COM OUTRO VEICULO NAO-MOTORIZADO - MOTOCICLISTA NAO ESPECIFICADO TRAUMATIZADO EM ACIDENTE NAO-DE-TRANSITO,0
V26.3,MOTOCICLISTA TRAUMATIZADO EM COLISAO COM OUTRO VEICULO NAO-MOTORIZADO - PESSOA TRAUMATIZADO AO SUBIR OU DESCER DO VEICULO,0
V26.4,MOTOCICLISTA TRAUMATIZADO EM COLISAO COM OUTRO VEICULO NAO-MOTORIZADO - CONDUTOR TRAUMATIZADO EM UM ACIDENTE DE TRANSITO,0
V26.5,MOTOCICLISTA TRAUMATIZADO EM COLISAO COM OUTRO VEICULO NAO-MOTORIZADO - PASSAGEIRO TRAUMATIZADO EM UM ACIDENTE DE TRANSITO,0
V26.9,MOTOCICLISTA TRAUMATIZADO EM COLISAO COM OUTRO VEICULO NAO-MOTORIZADO - MOTOCICLISTA NAO ESPECIFICADO TRAUMATIZADO EM UM ACIDENTE DE TRANSITO,0
V27.0,MOTOCICLISTA TRAUMATIZADO EM COLISAO COM UM OBJETO FIXO OU PARADO - CONDUTOR TRAUMATIZADO EM ACIDENTE NAO-DE-TRANSITO,0
V27.2,MOTOCICLISTA TRAUMATIZADO EM COLISAO COM UM OBJETO FIXO OU PARADO - MOTOCICLISTA NAO ESPECIFICADO TRAUMATIZADO EM ACIDENTE NAO-DE-TRANSITO,0
V27.3,MOTOCICLISTA TRAUMATIZADO EM COLISAO COM UM OBJETO FIXO OU PARADO - PESSOA TRAUMATIZADO AO SUBIR OU DESCER DO VEICULO,0
V27.4,MOTOCICLISTA TRAUMATIZADO EM COLISAO COM UM OBJETO FIXO OU PARADO - CONDUTOR TRAUMATIZADO EM UM ACIDENTE DE TRANSITO,0
V27.5,MOTOCICLISTA TRAUMATIZADO EM COLISAO COM UM OBJETO FIXO OU PARADO - PASSAGEIRO TRAUMATIZADO EM UM ACIDENTE DE TRANSITO,0
V28,MOTOCICLISTA TRAUMATIZADO EM UM ACIDENTE DE TRANSPORTE SEM COLISAO,0
V28.0,MOTOCICLISTA TRAUMATIZADO EM UM ACIDENTE DE TRANSPORTE SEM COLISAO - CONDUTOR TRAUMATIZADO EM ACIDENTE NAO-DE-TRANSITO,0
V28.1,MOTOCICLISTA TRAUMATIZADO EM UM ACIDENTE DE TRANSPORTE SEM COLISAO - PASSAGEIRO TRAUMATIZADO EM ACIDENTE NAO-DE-TRANSITO,0
V28.2,MOTOCICLISTA TRAUMATIZADO EM UM ACIDENTE DE TRANSPORTE SEM COLISAO - MOTOCICLISTA NAO ESPECIFICADO TRAUMATIZADO EM ACIDENTE NAO-DE-TRANSITO,0
V28.3,MOTOCICLISTA TRAUMATIZADO EM UM ACIDENTE DE TRANSPORTE SEM COLISAO - PESSOA TRAUMATIZADO AO SUBIR OU DESCER DO VEICULO,0
V28.4,MOTOCICLISTA TRAUMATIZADO EM UM ACIDENTE DE TRANSPORTE SEM COLISAO - CONDUTOR TRAUMATIZADO EM UM ACIDENTE DE TRANSITO,0
V28.5,MOTOCICLISTA TRAUMATIZADO EM UM ACIDENTE DE TRANSPORTE SEM COLISAO - PASSAGEIRO TRAUMATIZADO EM UM ACIDENTE DE TRANSITO,0
V28.9,MOTOCICLISTA TRAUMATIZADO EM UM ACIDENTE DE TRANSPORTE SEM COLISAO - MOTOCICLISTA NAO ESPECIFICADO TRAUMATIZADO EM UM ACIDENTE DE TRANSITO,0
V29,MOTOCICLISTA TRAUMATIZADO EM OUTROS ACIDENTES DE TRANSPORTE E EM ACIDENTES DE TRANSPORTE NAO ESPECIFICADOS,0
V29.0,"CONDUTOR TRAUMATIZADO EM COLISAO COM OUTROS VEICULOS E COM VEICULOS NAO ESPECIFICADOS,A MOTOR,EM UM ACIDENTE NAO-DE-TRANSITO",0
V29.1,"PASSAGEIRO TRAUMATIZADO EM COLISAO COM OUTROS VEICULOS COM VEICULOS NAO ESPECIFICADOS,A MOTOR,EM UM ACIDENTE NAO-DE-TRANSITO",0
V29.2,"MOTOCICLISTA NAO ESPECIFICADO TRAUMATIZADO EM COLISAO COM OUTROS VEICULOS E COM VEICULOS NAO ESPECIFICADOS,A MOTOR,EM UM ACIDENTE NAO-DE-TRANSITO",0
V29.3,"MOTOCICLISTA [QUALQUER] TRAUMATIZADO EM UM ACIDENTE NAO ESPECIFICADO,NAO-DE-TRANSITO",0
V29.4,"CONDUTOR TRAUMATIZADO EM COLISAO COM OUTROS VEICULOS E COM VEICULOS NAO ESPECIFICADOS,A MOTOR,EM UM ACIDENTE DE TRANSITO",0
V29.5,"PASSAGEIRO TRAUMATIZADO EM COLISAO COM OUTROS VEICULOS E COM VEICULOS NAO ESPECIFICADOS,A MOTOR,EM UM ACIDENTE DE TRANSITO",0
V29.6,"MOTOCICLISTA NAO ESPECIFICADO TRAUMATIZADO EM COLISAO COM OUTROS VEICULOS E COM VEICULOS NAO ESPECIFICADOS,A MOTOR EM UM ACIDENTE DE TRANSITO",0
V29.9,MOTOCICLISTA [QUALQUER] TRAUMATIZADO EM UM ACIDENTE DE TRANSITO NAO ESPECIFICADO,0
V30,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM UM PEDESTRE OU UM ANIMAL,0
V30.0,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM UM PEDESTRE OU UM ANIMAL - CONDUTOR TRAUMATIZADO EM ACIDENTE NAO-DE-TRANSITO,0
V30.1,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM UM PEDESTRE OU UM ANIMAL - PASSAGEIRO TRAUMATIZADO EM ACIDENTE NAO-DE-TRANSITO,0
V30.2,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM UM PEDESTRE OU UM ANIMAL - PESSOA VIAJANDO NO EXTERIOR DO VEICULO TRAUMATIZADA EM UM ACIDENTE NAO-DE-TRANSITO,0
V30.3,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM UM PEDESTRE OU UM ANIMAL - OCUPANTE NAO ESPECIFICADO DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM ACIDENTE NAO-DE-TRANSITO,0
V30.4,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM UM PEDESTRE OU UM ANIMAL - PESSOA TRAUMATIZADA AO SUBIR OU DESCER DO VEICULO,0
V30.5,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM UM PEDESTRE OU UM ANIMAL - CONDUTOR TRAUMATIZADO EM UM ACIDENTE DE TRANSITO,0
V30.6,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM UM PEDESTRE OU UM ANIMAL - PASSAGEIRO TRAUMATIZADO EM UM ACIDENTE DE TRANSITO,0
V30.7,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM UM PEDESTRE OU UM ANIMAL - PESSOA VIAJANDO NO EXTERIOR DO VEICULO TRAUMATIZADA EM UM ACIDENTE DE TRANSITO,0
V30.9,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM UM PEDESTRE OU UM ANIMAL - OCUPANTE NAO ESPECIFICADO DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM UM ACIDENTE DE TRANSITO,0
W08.1,QUEDA DE OUTRO TIPO DE MOBILIA - HABITACAO COLETIVA,0
V31.1,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM UM VEICULO A PEDAL - PASSAGEIRO TRAUMATIZADO EM ACIDENTE NAO-DE-TRANSITO,0
V31.3,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM UM VEICULO A PEDAL - OCUPANTE NAO ESPECIFICADO DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM ACIDENTE NAO-DE-TRANSITO,0
V31.4,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM UM VEICULO A PEDAL - PESSOA TRAUMATIZADA AO SUBIR OU DESCER DO VEICULO,0
V31.5,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM UM VEICULO A PEDAL - CONDUTOR TRAUMATIZADO EM UM ACIDENTE DE TRANSITO,0
V31.6,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM UM VEICULO A PEDAL - PASSAGEIRO TRAUMATIZADO EM UM ACIDENTE DE TRANSITO,0
V31.7,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM UM VEICULO A PEDAL - PESSOA VIAJANDO NO EXTERIOR DO VEICULO TRAUMATIZADA EM UM ACIDENTE DE TRANSITO,0
V31.9,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM UM VEICULO A PEDAL - OCUPANTE NAO ESPECIFICADO DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM UM ACIDENTE DE TRANSITO,0
V32,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM OUTRO VEICULO A MOTOR DE DUAS OU TRES RODAS,0
V32.0,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM OUTRO VEICULO A MOTOR DE DUAS OU TRES RODAS - CONDUTOR TRAUMATIZADO EM ACIDENTE NAO-DE-TRANSITO,0
V32.1,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM OUTRO VEICULO A MOTOR DE DUAS OU TRES RODAS - PASSAGEIRO TRAUMATIZADO EM ACIDENTE NAO-DE-TRANSITO,0
V32.2,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM OUTRO VEICULO A MOTOR DE DUAS OU TRES RODAS - PESSOA VIAJANDO NO EXTERIOR DO VEICULO TRAUMATIZADA EM UM ACIDENTE NAO-DE-TRANSI,0
V32.3,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM OUTRO VEICULO A MOTOR DE DUAS OU TRES RODAS - OCUPANTE NAO ESPECIFICADO DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM ACIDENTE NAO,0
V32.4,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM OUTRO VEICULO A MOTOR DE DUAS OU TRES RODAS - PESSOA TRAUMATIZADA AO SUBIR OU DESCER DO VEICULO,0
V32.5,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM OUTRO VEICULO A MOTOR DE DUAS OU TRES RODAS - CONDUTOR TRAUMATIZADO EM UM ACIDENTE DE TRANSITO,0
V32.6,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM OUTRO VEICULO A MOTOR DE DUAS OU TRES RODAS - PASSAGEIRO TRAUMATIZADO EM UM ACIDENTE DE TRANSITO,0
